ordered_input1,ordered_input2,ordered_input3
292,0.1,0.02
313,0.1,0.02
161,0.1,0.02
415,0.1,0.02
317,0.1,0.02
428,0.1,0.02
513,0.1,0.02
228,0.1,0.02
490,0.1,0.02
258,0.1,0.02
264,0.1,0.02
565,0.1,0.02
579,0.1,0.02
281,0.1,0.02
383,0.1,0.02
438,0.1,0.02
509,0.1,0.02
262,0.1,0.02
360,0.1,0.02
512,0.1,0.02
329,0.1,0.02
548,0.1,0.02
372,0.1,0.02
645,0.1,0.02
358,0.1,0.02
339,0.1,0.02
409,0.1,0.02
218,0.1,0.02
249,0.1,0.02
484,0.1,0.02
255,0.1,0.02
433,0.1,0.02
509,0.1,0.02
288,0.1,0.02
545,0.1,0.02
455,0.1,0.02
297,0.1,0.02
560,0.1,0.02
470,0.1,0.02
425,0.1,0.02
530,0.1,0.02
298,0.1,0.02
605,0.1,0.02
566,0.1,0.02
669,0.1,0.02
461,0.1,0.02
629,0.1,0.02
371,0.1,0.02
198,0.1,0.02
372,0.1,0.02
499,0.1,0.02
552,0.1,0.02
229,0.1,0.02
548,0.1,0.02
212,0.1,0.02
544,0.1,0.02
495,0.1,0.02
355,0.1,0.02
305,0.1,0.02
192,0.1,0.02
292,0.1,0.02
562,0.1,0.02
452,0.1,0.02
235,0.1,0.02
654,0.1,0.02
269,0.1,0.02
415,0.1,0.02
280,0.1,0.02
405,0.1,0.02
226,0.1,0.02
321,0.1,0.02
562,0.1,0.02
224,0.1,0.1
300,0.1,0.1
417,0.1,0.1
637,0.1,0.1
340,0.1,0.1
255,0.1,0.1
581,0.1,0.1
423,0.1,0.1
580,0.1,0.1
504,0.1,0.1
191,0.1,0.1
236,0.1,0.1
224,0.1,0.1
417,0.1,0.1
300,0.1,0.1
637,0.1,0.1
234,0.1,0.1
465,0.1,0.1
415,0.1,0.1
351,0.1,0.1
405,0.1,0.1
570,0.1,0.1
395,0.1,0.1
476,0.1,0.1
611,0.1,0.1
414,0.1,0.1
687,0.1,0.1
322,0.1,0.1
322,0.1,0.1
611,0.1,0.1
414,0.1,0.1
687,0.1,0.1
611,0.1,0.1
322,0.1,0.1
687,0.1,0.1
414,0.1,0.1
611,0.1,0.1
414,0.1,0.1
322,0.1,0.1
687,0.1,0.1
687,0.1,0.1
414,0.1,0.1
322,0.1,0.1
611,0.1,0.1
414,0.1,0.1
611,0.1,0.1
322,0.1,0.1
687,0.1,0.1
491,0.1,0.02
202,0.1,0.02
127,0.1,0.02
138,0.1,0.02
218,0.1,0.02
477,0.1,0.02
175,0.1,0.02
411,0.1,0.02
368,0.1,0.02
282,0.1,0.02
267,0.1,0.02
609,0.1,0.02
452,0.1,0.02
319,0.1,0.02
193,0.1,0.02
718,0.1,0.02
351,0.1,0.02
306,0.1,0.02
638,0.1,0.02
289,0.1,0.02
369,0.1,0.02
765,0.1,0.02
282,0.1,0.02
271,0.1,0.02
