ordered_input1,ordered_input2,ordered_input3
277,0.1,0.02
153,0.1,0.02
245,0.1,0.02
670,0.1,0.02
211,0.1,0.02
535,0.1,0.02
680,0.1,0.02
128,0.1,0.02
238,0.1,0.02
621,0.1,0.02
174,0.1,0.02
587,0.1,0.02
106,0.1,0.02
196,0.1,0.02
483,0.1,0.02
616,0.1,0.02
168,0.1,0.02
681,0.1,0.02
293,0.1,0.02
577,0.1,0.02
545,0.1,0.02
206,0.1,0.02
669,0.1,0.02
262,0.1,0.02
107,0.1,0.02
595,0.1,0.02
162,0.1,0.02
630,0.1,0.02
156,0.1,0.02
658,0.1,0.02
193,0.1,0.02
579,0.1,0.02
641,0.1,0.02
215,0.1,0.02
595,0.1,0.02
133,0.1,0.02
542,0.1,0.02
431,0.1,0.02
190,0.1,0.02
75,0.1,0.02
128,0.1,0.02
530,0.1,0.02
641,0.1,0.02
130,0.1,0.02
626,0.1,0.02
98,0.1,0.02
513,0.1,0.02
211,0.1,0.02
108,0.1,0.02
261,0.1,0.02
582,0.1,0.02
682,0.1,0.02
544,0.1,0.02
607,0.1,0.02
267,0.1,0.02
221,0.1,0.02
634,0.1,0.02
129,0.1,0.02
508,0.1,0.02
244,0.1,0.02
619,0.1,0.02
84,0.1,0.02
188,0.1,0.02
520,0.1,0.02
654,0.1,0.02
492,0.1,0.02
265,0.1,0.02
88,0.1,0.02
644,0.1,0.02
170,0.1,0.02
201,0.1,0.02
524,0.1,0.02
206,0.1,0.1
650,0.1,0.1
190,0.1,0.1
501,0.1,0.1
180,0.1,0.1
586,0.1,0.1
578,0.1,0.1
169,0.1,0.1
272,0.1,0.1
193,0.1,0.1
183,0.1,0.1
577,0.1,0.1
160,0.1,0.1
110,0.1,0.1
600,0.1,0.1
514,0.1,0.1
635,0.1,0.1
163,0.1,0.1
186,0.1,0.1
498,0.1,0.1
523,0.1,0.1
196,0.1,0.1
545,0.1,0.1
116,0.1,0.1
153,0.1,0.1
562,0.1,0.1
310,0.1,0.1
631,0.1,0.1
226,0.1,0.1
210,0.1,0.1
656,0.1,0.1
511,0.1,0.1
180,0.1,0.1
241,0.1,0.1
581,0.1,0.1
226,0.1,0.1
192,0.1,0.1
466,0.1,0.1
529,0.1,0.1
222,0.1,0.1
454,0.1,0.1
171,0.1,0.1
247,0.1,0.1
505,0.1,0.1
205,0.1,0.1
582,0.1,0.1
137,0.1,0.1
527,0.1,0.1
114,0.1,0.02
188,0.1,0.02
643,0.1,0.02
283,0.1,0.02
122,0.1,0.02
640,0.1,0.02
502,0.1,0.02
176,0.1,0.02
479,0.1,0.02
95,0.1,0.02
179,0.1,0.02
570,0.1,0.02
448,0.1,0.02
185,0.1,0.02
99,0.1,0.02
589,0.1,0.02
483,0.1,0.02
105,0.1,0.02
148,0.1,0.02
453,0.1,0.02
522,0.1,0.02
239,0.1,0.02
84,0.1,0.02
449,0.1,0.02
