ordered_input1,ordered_input2,ordered_input3
715,0.7,0.02
197,0.7,0.02
482,0.7,0.02
188,0.7,0.02
194,0.7,0.02
105,0.7,0.02
694,0.7,0.02
530,0.7,0.02
68,0.7,0.02
221,0.7,0.02
563,0.7,0.02
665,0.7,0.02
588,0.7,0.02
602,0.7,0.02
99,0.7,0.02
94,0.7,0.02
412,0.7,0.02
207,0.7,0.02
172,0.7,0.02
624,0.7,0.02
553,0.7,0.02
137,0.7,0.02
703,0.7,0.02
157,0.7,0.02
590,0.7,0.02
724,0.7,0.02
90,0.7,0.02
229,0.7,0.02
140,0.7,0.02
658,0.7,0.02
597,0.7,0.02
228,0.7,0.02
139,0.7,0.02
701,0.7,0.02
598,0.7,0.02
263,0.7,0.02
232,0.7,0.02
707,0.7,0.02
625,0.7,0.02
145,0.7,0.02
670,0.7,0.02
613,0.7,0.02
325,0.7,0.02
64,0.7,0.02
261,0.7,0.02
661,0.7,0.02
668,0.7,0.02
155,0.7,0.02
88,0.7,0.02
120,0.7,0.02
563,0.7,0.02
441,0.7,0.02
563,0.7,0.02
80,0.7,0.02
162,0.7,0.02
562,0.7,0.02
587,0.7,0.02
132,0.7,0.02
205,0.7,0.02
544,0.7,0.02
576,0.7,0.02
140,0.7,0.02
204,0.7,0.02
618,0.7,0.02
113,0.7,0.02
162,0.7,0.02
564,0.7,0.02
534,0.7,0.02
218,0.7,0.02
671,0.7,0.02
650,0.7,0.02
79,0.7,0.02
479,0.7,0.1
634,0.7,0.1
261,0.7,0.1
77,0.7,0.1
634,0.7,0.1
602,0.7,0.1
208,0.7,0.1
178,0.7,0.1
178,0.7,0.1
634,0.7,0.1
208,0.7,0.1
602,0.7,0.1
244,0.7,0.1
632,0.7,0.1
608,0.7,0.1
205,0.7,0.1
547,0.7,0.1
227,0.7,0.1
590,0.7,0.1
137,0.7,0.1
155,0.7,0.1
365,0.7,0.1
111,0.7,0.1
602,0.7,0.1
105,0.7,0.1
337,0.7,0.1
497,0.7,0.1
144,0.7,0.1
379,0.7,0.1
414,0.7,0.1
349,0.7,0.1
142,0.7,0.1
349,0.7,0.1
379,0.7,0.1
142,0.7,0.1
414,0.7,0.1
423,0.7,0.1
220,0.7,0.1
135,0.7,0.1
615,0.7,0.1
697,0.7,0.1
408,0.7,0.1
228,0.7,0.1
403,0.7,0.1
228,0.7,0.1
423,0.7,0.1
195,0.7,0.1
512,0.7,0.1
287,0.7,0.02
332,0.7,0.02
686,0.7,0.02
657,0.7,0.02
165,0.7,0.02
680,0.7,0.02
597,0.7,0.02
383,0.7,0.02
211,0.7,0.02
497,0.7,0.02
622,0.7,0.02
175,0.7,0.02
91,0.7,0.02
123,0.7,0.02
570,0.7,0.02
641,0.7,0.02
154,0.7,0.02
637,0.7,0.02
228,0.7,0.02
662,0.7,0.02
550,0.7,0.02
78,0.7,0.02
93,0.7,0.02
641,0.7,0.02
