ordered_input1,ordered_input2,ordered_input3
147,0.7,0.02
565,0.7,0.02
672,0.7,0.02
280,0.7,0.02
188,0.7,0.02
225,0.7,0.02
685,0.7,0.02
716,0.7,0.02
617,0.7,0.02
175,0.7,0.02
304,0.7,0.02
672,0.7,0.02
186,0.7,0.02
688,0.7,0.02
256,0.7,0.02
654,0.7,0.02
162,0.7,0.02
673,0.7,0.02
335,0.7,0.02
728,0.7,0.02
317,0.7,0.02
196,0.7,0.02
750,0.7,0.02
645,0.7,0.02
659,0.7,0.02
185,0.7,0.02
359,0.7,0.02
820,0.7,0.02
207,0.7,0.02
799,0.7,0.02
633,0.7,0.02
328,0.7,0.02
223,0.7,0.02
282,0.7,0.02
717,0.7,0.02
682,0.7,0.02
341,0.7,0.02
745,0.7,0.02
749,0.7,0.02
220,0.7,0.02
322,0.7,0.02
253,0.7,0.02
691,0.7,0.02
747,0.7,0.02
702,0.7,0.02
301,0.7,0.02
769,0.7,0.02
287,0.7,0.02
710,0.7,0.02
236,0.7,0.02
743,0.7,0.02
290,0.7,0.02
715,0.7,0.02
196,0.7,0.02
717,0.7,0.02
284,0.7,0.02
758,0.7,0.02
331,0.7,0.02
263,0.7,0.02
632,0.7,0.02
342,0.7,0.02
626,0.7,0.02
708,0.7,0.02
305,0.7,0.02
678,0.7,0.02
243,0.7,0.02
635,0.7,0.02
317,0.7,0.02
588,0.7,0.02
695,0.7,0.02
314,0.7,0.02
353,0.7,0.02
731,0.7,0.1
288,0.7,0.1
705,0.7,0.1
439,0.7,0.1
710,0.7,0.1
322,0.7,0.1
297,0.7,0.1
735,0.7,0.1
332,0.7,0.1
704,0.7,0.1
312,0.7,0.1
678,0.7,0.1
359,0.7,0.1
777,0.7,0.1
757,0.7,0.1
351,0.7,0.1
812,0.7,0.1
355,0.7,0.1
794,0.7,0.1
279,0.7,0.1
230,0.7,0.1
704,0.7,0.1
360,0.7,0.1
771,0.7,0.1
286,0.7,0.1
623,0.7,0.1
255,0.7,0.1
745,0.7,0.1
706,0.7,0.1
668,0.7,0.1
283,0.7,0.1
333,0.7,0.1
238,0.7,0.1
912,0.7,0.1
289,0.7,0.1
732,0.7,0.1
790,0.7,0.1
697,0.7,0.1
350,0.7,0.1
287,0.7,0.1
237,0.7,0.1
298,0.7,0.1
680,0.7,0.1
745,0.7,0.1
350,0.7,0.1
590,0.7,0.1
689,0.7,0.1
276,0.7,0.1
681,0.7,0.02
296,0.7,0.02
245,0.7,0.02
705,0.7,0.02
559,0.7,0.02
648,0.7,0.02
308,0.7,0.02
283,0.7,0.02
477,0.7,0.02
226,0.7,0.02
344,0.7,0.02
666,0.7,0.02
307,0.7,0.02
159,0.7,0.02
705,0.7,0.02
692,0.7,0.02
218,0.7,0.02
360,0.7,0.02
636,0.7,0.02
731,0.7,0.02
623,0.7,0.02
589,0.7,0.02
178,0.7,0.02
217,0.7,0.02
