ordered_input1,ordered_input2,ordered_input3
171,0.7,0.02
679,0.7,0.02
639,0.7,0.02
116,0.7,0.02
538,0.7,0.02
702,0.7,0.02
153,0.7,0.02
216,0.7,0.02
638,0.7,0.02
715,0.7,0.02
94,0.7,0.02
187,0.7,0.02
587,0.7,0.02
175,0.7,0.02
191,0.7,0.02
556,0.7,0.02
248,0.7,0.02
607,0.7,0.02
262,0.7,0.02
679,0.7,0.02
711,0.7,0.02
199,0.7,0.02
205,0.7,0.02
602,0.7,0.02
189,0.7,0.02
260,0.7,0.02
588,0.7,0.02
606,0.7,0.02
164,0.7,0.02
624,0.7,0.02
334,0.7,0.02
662,0.7,0.02
624,0.7,0.02
624,0.7,0.02
148,0.7,0.02
88,0.7,0.02
655,0.7,0.02
176,0.7,0.02
153,0.7,0.02
664,0.7,0.02
579,0.7,0.02
283,0.7,0.02
93,0.7,0.02
596,0.7,0.02
655,0.7,0.02
268,0.7,0.02
216,0.7,0.02
627,0.7,0.02
584,0.7,0.02
311,0.7,0.02
217,0.7,0.02
632,0.7,0.02
279,0.7,0.02
164,0.7,0.02
559,0.7,0.02
638,0.7,0.02
549,0.7,0.02
188,0.7,0.02
608,0.7,0.02
274,0.7,0.02
747,0.7,0.02
515,0.7,0.02
140,0.7,0.02
262,0.7,0.02
647,0.7,0.02
226,0.7,0.02
289,0.7,0.02
599,0.7,0.02
557,0.7,0.02
701,0.7,0.02
172,0.7,0.02
237,0.7,0.02
549,0.7,0.1
580,0.7,0.1
291,0.7,0.1
359,0.7,0.1
695,0.7,0.1
364,0.7,0.1
566,0.7,0.1
324,0.7,0.1
281,0.7,0.1
607,0.7,0.1
407,0.7,0.1
664,0.7,0.1
296,0.7,0.1
650,0.7,0.1
458,0.7,0.1
642,0.7,0.1
661,0.7,0.1
372,0.7,0.1
466,0.7,0.1
608,0.7,0.1
627,0.7,0.1
399,0.7,0.1
596,0.7,0.1
395,0.7,0.1
624,0.7,0.1
352,0.7,0.1
602,0.7,0.1
393,0.7,0.1
523,0.7,0.1
368,0.7,0.1
697,0.7,0.1
666,0.7,0.1
515,0.7,0.1
590,0.7,0.1
418,0.7,0.1
632,0.7,0.1
716,0.7,0.1
280,0.7,0.1
676,0.7,0.1
439,0.7,0.1
492,0.7,0.1
662,0.7,0.1
664,0.7,0.1
531,0.7,0.1
416,0.7,0.1
440,0.7,0.1
691,0.7,0.1
765,0.7,0.1
664,0.7,0.02
583,0.7,0.02
263,0.7,0.02
29,0.7,0.02
327,0.7,0.02
660,0.7,0.02
217,0.7,0.02
666,0.7,0.02
748,0.7,0.02
417,0.7,0.02
658,0.7,0.02
358,0.7,0.02
799,0.7,0.02
495,0.7,0.02
768,0.7,0.02
351,0.7,0.02
400,0.7,0.02
760,0.7,0.02
484,0.7,0.02
724,0.7,0.02
798,0.7,0.02
794,0.7,0.02
444,0.7,0.02
440,0.7,0.02
