ordered_input1,ordered_input2,ordered_input3
538,0.7,0.02
635,0.7,0.02
183,0.7,0.02
114,0.7,0.02
177,0.7,0.02
579,0.7,0.02
595,0.7,0.02
73,0.7,0.02
74,0.7,0.02
187,0.7,0.02
579,0.7,0.02
359,0.7,0.02
492,0.7,0.02
589,0.7,0.02
127,0.7,0.02
150,0.7,0.02
241,0.7,0.02
250,0.7,0.02
430,0.7,0.02
602,0.7,0.02
644,0.7,0.02
192,0.7,0.02
140,0.7,0.02
500,0.7,0.02
590,0.7,0.02
204,0.7,0.02
469,0.7,0.02
149,0.7,0.02
642,0.7,0.02
95,0.7,0.02
112,0.7,0.02
425,0.7,0.02
491,0.7,0.02
139,0.7,0.02
184,0.7,0.02
610,0.7,0.02
105,0.7,0.02
565,0.7,0.02
123,0.7,0.02
481,0.7,0.02
504,0.7,0.02
492,0.7,0.02
167,0.7,0.02
204,0.7,0.02
143,0.7,0.02
362,0.7,0.02
520,0.7,0.02
103,0.7,0.02
382,0.7,0.02
107,0.7,0.02
236,0.7,0.02
485,0.7,0.02
363,0.7,0.02
610,0.7,0.02
135,0.7,0.02
65,0.7,0.02
421,0.7,0.02
505,0.7,0.02
152,0.7,0.02
89,0.7,0.02
142,0.7,0.02
460,0.7,0.02
429,0.7,0.02
83,0.7,0.02
111,0.7,0.02
139,0.7,0.02
457,0.7,0.02
381,0.7,0.02
284,0.7,0.02
58,0.7,0.02
424,0.7,0.02
119,0.7,0.02
262,0.7,0.1
121,0.7,0.1
559,0.7,0.1
437,0.7,0.1
478,0.7,0.1
560,0.7,0.1
182,0.7,0.1
288,0.7,0.1
556,0.7,0.1
184,0.7,0.1
203,0.7,0.1
603,0.7,0.1
181,0.7,0.1
237,0.7,0.1
583,0.7,0.1
548,0.7,0.1
255,0.7,0.1
355,0.7,0.1
554,0.7,0.1
510,0.7,0.1
323,0.7,0.1
555,0.7,0.1
161,0.7,0.1
285,0.7,0.1
544,0.7,0.1
291,0.7,0.1
593,0.7,0.1
184,0.7,0.1
667,0.7,0.1
376,0.7,0.1
164,0.7,0.1
204,0.7,0.1
236,0.7,0.1
220,0.7,0.1
639,0.7,0.1
472,0.7,0.1
195,0.7,0.1
629,0.7,0.1
490,0.7,0.1
215,0.7,0.1
174,0.7,0.1
614,0.7,0.1
433,0.7,0.1
291,0.7,0.1
542,0.7,0.1
214,0.7,0.1
583,0.7,0.1
215,0.7,0.1
730,0.7,0.02
666,0.7,0.02
253,0.7,0.02
336,0.7,0.02
666,0.7,0.02
336,0.7,0.02
253,0.7,0.02
730,0.7,0.02
253,0.7,0.02
336,0.7,0.02
666,0.7,0.02
730,0.7,0.02
730,0.7,0.02
666,0.7,0.02
336,0.7,0.02
253,0.7,0.02
730,0.7,0.02
666,0.7,0.02
253,0.7,0.02
336,0.7,0.02
336,0.7,0.02
666,0.7,0.02
730,0.7,0.02
253,0.7,0.02
