ordered_input1,ordered_input2,ordered_input3
212,0.7,0.02
792,0.7,0.02
282,0.7,0.02
798,0.7,0.02
146,0.7,0.02
260,0.7,0.02
808,0.7,0.02
805,0.7,0.02
235,0.7,0.02
714,0.7,0.02
758,0.7,0.02
356,0.7,0.02
206,0.7,0.02
809,0.7,0.02
887,0.7,0.02
242,0.7,0.02
729,0.7,0.02
246,0.7,0.02
370,0.7,0.02
797,0.7,0.02
238,0.7,0.02
843,0.7,0.02
163,0.7,0.02
733,0.7,0.02
841,0.7,0.02
238,0.7,0.02
369,0.7,0.02
761,0.7,0.02
883,0.7,0.02
238,0.7,0.02
269,0.7,0.02
753,0.7,0.02
697,0.7,0.02
327,0.7,0.02
377,0.7,0.02
902,0.7,0.02
810,0.7,0.02
328,0.7,0.02
827,0.7,0.02
205,0.7,0.02
729,0.7,0.02
220,0.7,0.02
944,0.7,0.02
398,0.7,0.02
158,0.7,0.02
873,0.7,0.02
350,0.7,0.02
852,0.7,0.02
642,0.7,0.02
243,0.7,0.02
309,0.7,0.02
715,0.7,0.02
309,0.7,0.02
715,0.7,0.02
642,0.7,0.02
243,0.7,0.02
715,0.7,0.02
243,0.7,0.02
309,0.7,0.02
642,0.7,0.02
642,0.7,0.02
309,0.7,0.02
715,0.7,0.02
243,0.7,0.02
243,0.7,0.02
642,0.7,0.02
309,0.7,0.02
715,0.7,0.02
309,0.7,0.02
715,0.7,0.02
243,0.7,0.02
642,0.7,0.02
312,0.7,0.1
741,0.7,0.1
460,0.7,0.1
926,0.7,0.1
416,0.7,0.1
736,0.7,0.1
853,0.7,0.1
278,0.7,0.1
483,0.7,0.1
896,0.7,0.1
816,0.7,0.1
299,0.7,0.1
855,0.7,0.1
887,0.7,0.1
387,0.7,0.1
352,0.7,0.1
260,0.7,0.1
895,0.7,0.1
731,0.7,0.1
215,0.7,0.1
200,0.7,0.1
391,0.7,0.1
864,0.7,0.1
803,0.7,0.1
372,0.7,0.1
692,0.7,0.1
291,0.7,0.1
832,0.7,0.1
307,0.7,0.1
355,0.7,0.1
885,0.7,0.1
791,0.7,0.1
154,0.7,0.1
777,0.7,0.1
729,0.7,0.1
359,0.7,0.1
225,0.7,0.1
808,0.7,0.1
944,0.7,0.1
339,0.7,0.1
776,0.7,0.1
404,0.7,0.1
885,0.7,0.1
272,0.7,0.1
344,0.7,0.1
985,0.7,0.1
238,0.7,0.1
862,0.7,0.1
379,0.7,0.02
278,0.7,0.02
810,0.7,0.02
876,0.7,0.02
759,0.7,0.02
304,0.7,0.02
445,0.7,0.02
841,0.7,0.02
417,0.7,0.02
330,0.7,0.02
784,0.7,0.02
887,0.7,0.02
318,0.7,0.02
382,0.7,0.02
894,0.7,0.02
843,0.7,0.02
393,0.7,0.02
260,0.7,0.02
748,0.7,0.02
944,0.7,0.02
318,0.7,0.02
944,0.7,0.02
798,0.7,0.02
270,0.7,0.02
