ISI (s), ISD (cm), Taps, sigma(s), sigma(v)
0.04, 3, 8, 2, 10
0.16, 7, 2, 3, 10
0.19, 4, 5, 2, 9
0.13, 5, 8, 3, 10
0.15, 5, 3, 2, 9
0.23, 5, 4, 3, 10
0.2, 4, 4, 2, 10
0.06, 2, 3, 3, 10
0.26, 4, 6, 2, 9
0.18, 5, 3, 3, 10
0.09, 6, 6, 2, 10
0.15, 4, 6, 3, 9
0.15, 7, 4, 3, 10
0.25, 3, 3, 3, 11
0.14, 7, 6, 2, 11
0.21, 4, 3, 2, 9
0.13, 5, 4, 2, 11
0.12, 4, 6, 2, 9
0.2, 7, 3, 3, 10
0.14, 5, 5, 2, 11
0.18, 4, 2, 3, 10
0.05, 4, 4, 3, 9
0.21, 5, 5, 3, 11
0.24, 1, 3, 3, 11
0.19, 8, 5, 2, 10
0.13, 6, 8, 3, 10
0.13, 6, 1, 2, 11
0.06, 3, 8, 2, 9
0.15, 3, 7, 2, 10
0.21, 3, 3, 3, 11
0.25, 4, 6, 3, 10
0.13, 7, 4, 2, 10
0.17, 3, 5, 3, 10
0.15, 5, 3, 2, 10
0.15, 1, 2, 3, 10
0.22, 4, 7, 1, 10
0.19, 6, 1, 3, 10
0.04, 4, 4, 2, 10
0.07, 3, 5, 3, 10
0.16, 3, 5, 2, 9
0.13, 4, 3, 3, 10
0.15, 6, 3, 2, 9
0.11, 7, 6, 2, 8
0.15, 4, 5, 2, 10
0.24, 6, 3, 2, 10
0.08, 6, 8, 2, 11
0.12, 8, 7, 3, 11
0.17, 4, 2, 3, 10
0.23, 7, 6, 2, 10
0.23, 4, 6, 2, 10
0.22, 5, 5, 3, 10
0.1, 6, 4, 2, 9
0.1, 2, 7, 2, 10
0.15, 5, 4, 2, 9
0.21, 6, 4, 2, 9
0.24, 5, 5, 3, 11
0.06, 3, 6, 2, 9
0.27, 5, 3, 3, 10
0.17, 7, 5, 3, 9
0.16, 2, 8, 2, 10
0.12, 3, 5, 2, 10
0.12, 5, 10, 2, 10
0.2, 4, 6, 3, 9
0.11, 4, -0, 2, 9
0.18, 6, 5, 2, 10
0.2, 5, 5, 3, 11
0.14, 4, 4, 2, 10
0.15, 6, 8, 3, 10
0.06, 5, 3, 2, 11
0.14, 8, 4, 3, 10
0.12, 7, 2, 1, 10
0.18, -1, 7, 2, 9
0.19, 6, 3, 3, 10
0.17, 7, 8, 3, 10
0.08, 6, 5, 2, 10
0.14, 9, 2, 3, 11
0.19, 3, 3, 3, 10
0.19, 5, 5, 3, 10
0.1, 5, 1, 2, 10
0.19, 5, 5, 2, 10
0.01, 4, 4, 2, 11
0.1, 6, 6, 2, 12
0.1, 3, 6, 2, 11
0.25, 9, 4, 3, 10
0.15, 3, 5, 3, 10
0.16, 6, 6, 2, 10
0.14, 2, 1, 2, 11
0.12, 8, 11, 2, 10
0.11, 6, 4, 3, 11
0.13, 7, 7, 3, 10
0.17, 6, 4, 2, 10
0.21, 7, 8, 2, 11
0.07, 5, 4, 3, 10
0.08, 6, 7, 3, 10
0.05, 5, 2, 2, 8
0.04, 5, 5, 2, 8
0.18, 6, 4, 2, 9
0.15, 10, 7, 3, 9
0.17, 4, 4, 3, 9
0.15, 5, 3, 2, 9
0.11, 2, 4, 3, 11
0.13, 4, 8, 3, 10
0.1, 3, 8, 3, 9
0.18, 4, 5, 2, 10
0.22, 3, 2, 3, 9
0.21, 8, 5, 3, 10
0.17, 4, 3, 3, 10
0.08, 6, 3, 2, 9
0.13, 5, 5, 1, 10
0.15, 5, 11, 2, 9
0.15, 4, 5, 2, 10
0.2, 6, 4, 3, 10
0.06, 4, 10, 3, 10
0.2, 5, 5, 2, 10
0.09, 7, 4, 3, 10
0.23, 6, 3, 3, 9
0.17, 5, 3, 2, 10
0.28, 3, 6, 2, 10
0.16, 6, 7, 3, 11
0.05, 6, 4, 3, 11
0.16, 4, 5, 2, 10
0.16, 5, 2, 3, 10
0.1, 4, 6, 2, 10
0.12, 7, 2, 3, 10
0.22, 7, 3, 3, 10
0.11, 3, 6, 2, 11
0.16, 4, 6, 1, 9
0.18, 5, 3, 2, 10
0.09, 3, 6, 3, 10
0.13, 2, 5, 3, 10
0.14, 4, 8, 2, 9
0.14, 5, 4, 2, 11
0.25, 6, 4, 1, 11
0.16, 4, 4, 1, 9
0.18, 4, 5, 3, 9
0.05, 4, 3, 3, 9
0.18, 5, 4, 2, 11
0.13, 5, 6, 2, 11
0.09, 5, 4, 3, 10
0.14, 5, 4, 3, 10
0.22, 4, 7, 3, 9
0.14, 8, 3, 3, 11
0.2, 7, 6, 3, 10
0.1, 8, 5, 2, 10
0.09, 7, 4, 2, 9
0.1, 9, 2, 2, 9
0.02, 8, 6, 3, 9
0.13, 5, 6, 3, 10
0.12, 4, 4, 2, 11
0.17, 4, 7, 2, 10
0.19, 8, 6, 2, 11
0.22, 6, 7, 2, 11
0.2, 7, 4, 3, 9
0.1, 6, 5, 3, 11
0.2, 5, 8, 2, 9
0.09, 6, 6, 2, 9
0.15, 5, 5, 2, 10
0.15, 9, 4, 3, 9
0.11, 3, 3, 3, 10
0.11, 6, 8, 1, 10
0.15, 6, 7, 2, 11
0.28, 6, 6, 2, 9
0.24, 6, 9, 2, 9
0.24, 7, 3, 2, 10
0.12, 7, 5, 3, 10
0.24, 5, 6, 3, 9
0.13, 8, 5, 3, 12
0.11, 1, 6, 2, 10
0.13, 5, 5, 2, 11
0.19, 3, 7, 2, 11
0.17, 7, 5, 2, 9
0.16, 6, 3, 2, 10
0.18, 6, 5, 3, 10
0.12, 3, 2, 3, 10
0.09, 5, 4, 3, 11
0.15, 1, 5, 2, 9
0.19, 9, 8, 3, 9
0.15, 2, 3, 2, 9
0.14, 4, 5, 3, 10
0.29, -0, 4, 3, 10
0.21, 6, 4, 3, 10
0.21, 4, 6, 2, 11
0.16, 3, 6, 2, 9
0.17, 9, 5, 3, 10
0.18, 4, 7, 4, 10
0.03, 8, 4, 3, 11
0.18, 3, 6, 2, 9
0.21, 6, 7, 3, 10
0.09, 6, 1, 2, 10
0.15, 6, 6, 3, 10
0.17, 3, 6, 2, 10
0.17, 5, 5, 2, 11
0.13, 9, 4, 2, 11
0.25, 4, 5, 2, 9
0.19, 7, 4, 2, 10
0.2, 2, 6, 3, 10
0.14, 6, 5, 2, 11
0.12, 5, 5, 3, 10
0.29, 3, 5, 2, 11
0.28, 6, 5, 1, 10
0.24, 6, 5, 3, 11
0.1, 4, 2, 3, 12
0.19, 9, 6, 2, 9
0.11, 5, 4, 3, 9
0.08, 5, 6, 2, 9
0.2, 3, 8, 3, 10
0.07, 6, 4, 3, 11
0.12, 6, 4, 3, 10
0.21, 3, 8, 2, 11
0.23, 6, 5, 3, 9
0.11, 5, 6, 2, 10
0.22, 3, 6, 4, 10
0.18, 4, 4, 2, 11
0.18, 0, 3, 3, 10
0.13, 4, 6, 3, 10
0.22, 5, 6, 2, 10
0.12, 6, 6, 2, 8
0.06, 8, 2, 3, 11
0.16, 4, 8, 3, 10
0.19, 7, 6, 3, 9
0.15, 6, 3, 3, 10
0.18, 5, 5, 3, 9
0.11, 9, 9, 3, 10
0.05, 5, 7, 4, 9
0.15, 2, 7, 3, 11
0.18, 4, 7, 3, 8
0.14, 5, 6, 3, 11
0.1, 5, 7, 4, 10
0.16, 4, 3, 2, 10
0.18, 7, 3, 2, 10
0.05, 7, 5, 2, 10
0.17, 7, 4, 2, 9
0.15, 4, 4, 3, 9
0.15, 8, 5, 2, 10
0.19, 5, 7, 3, 10
0.19, 4, 5, 2, 10
0.04, 2, 4, 3, 11
0.15, 6, 6, 4, 11
0.14, 7, 6, 2, 9
0.23, 5, 6, 3, 10
0.23, 5, 3, 3, 9
0.21, 2, 3, 3, 11
0.16, 4, 4, 2, 11
0.17, 7, 6, 3, 10
0.12, 7, 3, 3, 11
0.11, 6, 7, 2, 10
0.15, 7, 4, 3, 12
0.2, 6, 6, 2, 12
0.17, 7, 4, 1, 10
0.11, 6, 5, 3, 9
0.17, 9, 2, 2, 10
0.12, 8, 4, 3, 10
0.18, 7, 3, 3, 10
0.09, 3, 6, 2, 10
0.18, 6, 3, 2, 10
0.21, 4, 5, 3, 11
0.09, 4, 6, 2, 10
0.11, 6, 5, 4, 10
0.15, 3, 4, 2, 11
0.18, 2, 3, 2, 9
0.06, 6, 2, 2, 10
0.17, 6, 5, 2, 9
0.19, 6, 8, 3, 9
0.11, 0, 4, 2, 10
0.15, 1, 4, 2, 9
0.14, 6, 5, 3, 10
0.17, 5, 4, 3, 10
0.08, 4, 5, 3, 11
0.22, 5, 4, 3, 11
0.16, 7, 0, 2, 10
0.1, 5, 1, 3, 9
0.11, 8, 5, 2, 11
0.27, 5, 6, 2, 10
0.2, 5, 9, 3, 9
0.16, 8, 4, 3, 9
0.19, 5, 6, 3, 11
0.12, 7, 5, 2, 9
0.23, 5, 5, 3, 10
0.09, 6, 7, 3, 10
0.21, 5, 1, 3, 10
0.14, 6, 7, 2, 12
0.13, 5, 4, 2, 9
0.14, 5, 7, 3, 10
0.06, 4, 4, 2, 9
0.14, 6, 6, 3, 10
0.08, 8, 4, 3, 9
0.15, 4, 6, 3, 10
0.12, 5, 3, 4, 12
0.13, 6, 7, 3, 10
0.13, 6, 6, 3, 9
0.22, 5, 8, 2, 10
0.12, 5, 6, 3, 11
0.11, 8, 4, 2, 12
0.09, 4, 7, 3, 11
0.1, 6, 7, 3, 9
0.14, 6, 4, 3, 10
0.22, 5, 3, 2, 10
0.2, 4, 3, 1, 10
0.16, 7, 8, 3, 10
0.25, 5, 3, 3, 10
0.11, 6, 5, 3, 8
0.11, 8, 5, 2, 9
0.15, 4, 6, 3, 10
0.2, 7, 3, 3, 11
0.18, 5, 5, 3, 9
0.14, 3, 3, 2, 10
0.18, 8, 8, 2, 11
0.2, 9, 5, 3, 10
0.1, 3, 6, 3, 10
0.13, 7, 8, 2, 12
0.21, 5, 6, 3, 9
0.16, 6, 6, 2, 10
0.2, 3, 7, 2, 9
0.25, 4, 2, 1, 9
0.12, 1, 6, 3, 10
0.17, 1, 4, 2, 10
0.12, 4, 5, 2, 9
0.14, 3, 5, 4, 10
0.2, 3, 4, 3, 10
0.1, 6, 9, 2, 9
0.15, 6, 5, 2, 9
0.16, 6, 6, 2, 10
0.21, 5, 5, 2, 11
0.3, 5, 3, 3, 9
0.14, 5, 4, 3, 11
0.23, 2, 6, 3, 12
0.21, 3, 1, 3, 10
0.1, 7, 5, 3, 10
0.11, 4, 7, 3, 10
0.2, 5, 4, 3, 10
0.09, 2, 6, 2, 9
0.12, 4, 7, 2, 11
0.09, 5, 7, 2, 9
0.24, 4, 7, 3, 9
0.15, 2, 6, 2, 9
0.1, 3, 4, 3, 9
0.16, 8, 5, 3, 10
0.12, 2, 5, 3, 9
0.15, 4, 4, 3, 10
0.22, 5, 3, 1, 10
0.13, 6, 4, 3, 10
0.18, 7, 3, 3, 11
0.16, 5, 6, 2, 11
0.15, 6, 6, 3, 11
0.13, 5, 6, 3, 10
0.14, 4, 5, 2, 10
0.13, 8, 4, 2, 9
0.09, 6, 3, 2, 11
0.11, 6, 5, 2, 10
0.25, 6, 6, 3, 9
0.09, 3, 2, 2, 11
0.18, 5, 3, 2, 11
0.08, 6, 5, 2, 11
0.12, 6, 5, 2, 11
0.13, 7, 6, 2, 10
0.24, 6, 5, 3, 10
0.17, 2, 6, 3, 10
0.01, 6, 2, 3, 11
0.17, 6, 6, 2, 11
0.14, 7, 3, 3, 9
0.2, 2, 3, 3, 9
0.2, 6, 2, 3, 10
0.16, 3, 7, 2, 9
0.05, 4, 5, 3, 10
0.19, 6, 7, 3, 11
0.18, 7, 5, 2, 12
0.14, 4, 3, 3, 11
0.17, 5, 7, 3, 10
0.2, 8, 6, 3, 11
0.19, 4, 3, 2, 10
0.24, 8, 5, 3, 12
0.17, 3, 3, 3, 10
0.15, 4, 5, 2, 10
0.2, 2, 6, 3, 11
0.14, 4, 4, 2, 10
0.15, 4, 7, 2, 10
0.25, 4, 7, 3, 10
0.2, 4, 4, 3, 10
0.23, 6, 5, 3, 11
0.05, 4, 5, 3, 11
0.09, 2, 5, 3, 10
0.19, 5, 3, 3, 8
0.15, 7, 4, 3, 9
0.19, 6, 5, 2, 9
0.2, 6, 8, 3, 9
0.1, 4, 6, 3, 10
0.19, 5, 3, 2, 10
0.24, 4, 8, 3, 10
0.02, 2, 3, 3, 10
0.21, 3, 5, 2, 10
0.25, 5, 5, 2, 8
0.13, 4, 8, 3, 10
0.19, 4, 5, 3, 11
0.21, 6, 7, 2, 9
0.06, 6, 7, 2, 10
0.22, 3, 4, 2, 9
0.16, 7, 5, 3, 10
0.11, 8, 3, 2, 10
0.1, 7, 4, 3, 9
0.19, 4, 4, 2, 9
0.2, 9, 4, 2, 10
0.16, 5, 4, 2, 10
0.16, 5, 1, 2, 9
0.06, 2, 4, 2, 10
0.17, 8, 4, 3, 9
0.12, 8, 4, 3, 9
0.11, 5, 8, 2, 10
0.2, 8, 6, 3, 11
0.15, 8, 3, 3, 10
0.13, 6, 4, 2, 9
0.12, 3, 5, 3, 10
0.19, 4, 3, 3, 10
0.19, 7, 8, 3, 10
0.1, 5, 6, 3, 9
0.16, 2, 5, 2, 10
0.24, 5, 5, 2, 9
0.11, 9, 4, 3, 11
0.22, 6, 4, 3, 10
0.02, 4, 5, 2, 11
0.12, 5, 5, 2, 10
0.08, 5, 4, 2, 10
0.16, 4, 2, 4, 9
0.2, 3, 7, 2, 9
0.1, 7, 5, 3, 9
0.18, 2, 8, 2, 11
0.07, 6, 5, 2, 9
0.02, 4, 3, 3, 10
0.18, 5, 4, 2, 9
0.13, 5, 4, 3, 10
0.14, 7, 6, 3, 11
0.07, 4, 6, 2, 9
0.15, 7, 6, 2, 11
0.12, 5, 4, 3, 9
0.14, 4, 4, 3, 10
0.21, 7, 4, 3, 10
0.06, 4, 6, 2, 11
0.2, 4, 6, 3, 11
0.08, 2, 7, 3, 10
0.19, 6, 7, 2, 11
0.19, 2, 8, 2, 10
0.16, 8, 2, 2, 9
0.07, 4, 3, 3, 9
0.04, 4, 6, 3, 11
0.13, 5, 5, 3, 11
0.11, 5, 5, 4, 10
0.14, 6, 8, 3, 10
0.09, 1, 7, 3, 9
0.12, 4, 5, 2, 10
0.2, 5, 3, 2, 11
0.15, 5, 6, 2, 10
0.15, 1, 5, 3, 10
0.18, 5, 6, 3, 11
0.18, 4, 4, 2, 10
0.15, 6, 4, 3, 9
0.08, 8, 5, 2, 9
0.18, 6, 9, 2, 9
0.11, 8, 6, 2, 10
0.11, 4, 7, 2, 11
0.22, 5, 3, 4, 11
0.14, 6, 8, 3, 11
0.17, 7, 4, 2, 9
0.18, 8, 5, 3, 11
0.12, 4, 4, 2, 11
0.13, 3, 4, 3, 10
0.13, 6, 3, 3, 10
0.12, 9, 2, 3, 11
0.2, 6, 8, 3, 11
0.11, 5, 2, 2, 10
0.11, 5, 5, 3, 11
0.16, 5, 3, 3, 9
0.17, 4, 8, 3, 10
0.13, 7, 4, 3, 11
0.21, 7, 6, 3, 10
0.18, 6, 3, 2, 10
0.16, 6, 6, 3, 10
0.15, 7, 6, 3, 9
0.11, 3, 5, 3, 10
0.1, 4, 5, 3, 10
0.21, 6, 2, 3, 10
0.21, 3, 6, 3, 10
0.14, 8, 3, 3, 12
0.12, 7, 4, 3, 9
0.19, 0, 5, 3, 10
0.11, -0, 7, 2, 9
0.19, 4, 5, 2, 11
0.12, 6, 2, 3, 10
0.23, 5, 2, 3, 9
0.19, 5, 3, 2, 10
0.18, 4, 4, 3, 11
0.09, 8, 5, 3, 9
0.16, 7, 4, 3, 9
0.2, 2, 1, 3, 11
0.26, 3, 3, 2, 9
0.08, 8, 7, 3, 11
0.11, 7, 6, 3, 10
0.13, 5, 5, 3, 10
0.26, 7, 5, 2, 11
0.08, 3, 2, 2, 10
