ordered_input1,ordered_input2,ordered_input3
841,0.1,0.02
504,0.1,0.02
375,0.1,0.02
894,0.1,0.02
802,0.1,0.02
874,0.1,0.02
416,0.1,0.02
490,0.1,0.02
844,0.1,0.02
364,0.1,0.02
766,0.1,0.02
521,0.1,0.02
536,0.1,0.02
795,0.1,0.02
402,0.1,0.02
897,0.1,0.02
415,0.1,0.02
506,0.1,0.02
909,0.1,0.02
770,0.1,0.02
853,0.1,0.02
472,0.1,0.02
752,0.1,0.02
351,0.1,0.02
804,0.1,0.02
571,0.1,0.02
940,0.1,0.02
289,0.1,0.02
465,0.1,0.02
301,0.1,0.02
934,0.1,0.02
926,0.1,0.02
396,0.1,0.02
487,0.1,0.02
1022,0.1,0.02
935,0.1,0.02
331,0.1,0.02
932,0.1,0.02
466,0.1,0.02
816,0.1,0.02
951,0.1,0.02
795,0.1,0.02
311,0.1,0.02
371,0.1,0.02
958,0.1,0.02
853,0.1,0.02
443,0.1,0.02
298,0.1,0.02
945,0.1,0.02
427,0.1,0.02
231,0.1,0.02
815,0.1,0.02
388,0.1,0.02
855,0.1,0.02
872,0.1,0.02
281,0.1,0.02
884,0.1,0.02
794,0.1,0.02
400,0.1,0.02
351,0.1,0.02
906,0.1,0.02
901,0.1,0.02
304,0.1,0.02
440,0.1,0.02
292,0.1,0.02
899,0.1,0.02
518,0.1,0.02
805,0.1,0.02
340,0.1,0.02
940,0.1,0.02
419,0.1,0.02
871,0.1,0.02
932,0.1,0.1
649,0.1,0.1
446,0.1,0.1
896,0.1,0.1
662,0.1,0.1
892,0.1,0.1
948,0.1,0.1
414,0.1,0.1
873,0.1,0.1
400,0.1,0.1
816,0.1,0.1
512,0.1,0.1
862,0.1,0.1
571,0.1,0.1
861,0.1,0.1
507,0.1,0.1
468,0.1,0.1
530,0.1,0.1
821,0.1,0.1
851,0.1,0.1
665,0.1,0.1
431,0.1,0.1
884,0.1,0.1
435,0.1,0.1
842,0.1,0.1
729,0.1,0.1
464,0.1,0.1
406,0.1,0.1
316,0.1,0.1
761,0.1,0.1
359,0.1,0.1
764,0.1,0.1
468,0.1,0.1
798,0.1,0.1
589,0.1,0.1
310,0.1,0.1
368,0.1,0.1
360,0.1,0.1
736,0.1,0.1
676,0.1,0.1
748,0.1,0.1
744,0.1,0.1
413,0.1,0.1
388,0.1,0.1
402,0.1,0.1
713,0.1,0.1
479,0.1,0.1
832,0.1,0.1
316,0.1,0.02
785,0.1,0.02
648,0.1,0.02
385,0.1,0.02
830,0.1,0.02
735,0.1,0.02
287,0.1,0.02
316,0.1,0.02
428,0.1,0.02
758,0.1,0.02
787,0.1,0.02
336,0.1,0.02
311,0.1,0.02
753,0.1,0.02
856,0.1,0.02
357,0.1,0.02
332,0.1,0.02
691,0.1,0.02
859,0.1,0.02
415,0.1,0.02
761,0.1,0.02
310,0.1,0.02
423,0.1,0.02
875,0.1,0.02
