ordered_input1,ordered_input2,ordered_input3
591,0.1,0.02
639,0.1,0.02
148,0.1,0.02
139,0.1,0.02
196,0.1,0.02
761,0.1,0.02
465,0.1,0.02
506,0.1,0.02
768,0.1,0.02
776,0.1,0.02
307,0.1,0.02
372,0.1,0.02
663,0.1,0.02
336,0.1,0.02
280,0.1,0.02
762,0.1,0.02
425,0.1,0.02
613,0.1,0.02
711,0.1,0.02
312,0.1,0.02
386,0.1,0.02
607,0.1,0.02
325,0.1,0.02
711,0.1,0.02
358,0.1,0.02
363,0.1,0.02
757,0.1,0.02
725,0.1,0.02
268,0.1,0.02
751,0.1,0.02
337,0.1,0.02
663,0.1,0.02
738,0.1,0.02
686,0.1,0.02
179,0.1,0.02
337,0.1,0.02
227,0.1,0.02
685,0.1,0.02
259,0.1,0.02
702,0.1,0.02
293,0.1,0.02
241,0.1,0.02
741,0.1,0.02
742,0.1,0.02
233,0.1,0.02
668,0.1,0.02
760,0.1,0.02
293,0.1,0.02
277,0.1,0.02
791,0.1,0.02
254,0.1,0.02
607,0.1,0.02
224,0.1,0.02
366,0.1,0.02
657,0.1,0.02
815,0.1,0.02
383,0.1,0.02
318,0.1,0.02
510,0.1,0.02
685,0.1,0.02
694,0.1,0.02
342,0.1,0.02
397,0.1,0.02
605,0.1,0.02
635,0.1,0.02
707,0.1,0.02
298,0.1,0.02
396,0.1,0.02
624,0.1,0.02
271,0.1,0.02
747,0.1,0.02
384,0.1,0.02
525,0.1,0.1
290,0.1,0.1
737,0.1,0.1
380,0.1,0.1
656,0.1,0.1
459,0.1,0.1
242,0.1,0.1
782,0.1,0.1
554,0.1,0.1
415,0.1,0.1
787,0.1,0.1
664,0.1,0.1
403,0.1,0.1
780,0.1,0.1
311,0.1,0.1
692,0.1,0.1
648,0.1,0.1
383,0.1,0.1
604,0.1,0.1
685,0.1,0.1
641,0.1,0.1
416,0.1,0.1
615,0.1,0.1
325,0.1,0.1
277,0.1,0.1
678,0.1,0.1
522,0.1,0.1
248,0.1,0.1
623,0.1,0.1
537,0.1,0.1
173,0.1,0.1
362,0.1,0.1
492,0.1,0.1
702,0.1,0.1
237,0.1,0.1
439,0.1,0.1
745,0.1,0.1
274,0.1,0.1
388,0.1,0.1
645,0.1,0.1
334,0.1,0.1
630,0.1,0.1
332,0.1,0.1
629,0.1,0.1
604,0.1,0.1
274,0.1,0.1
374,0.1,0.1
805,0.1,0.1
762,0.1,0.02
707,0.1,0.02
287,0.1,0.02
393,0.1,0.02
279,0.1,0.02
299,0.1,0.02
707,0.1,0.02
661,0.1,0.02
717,0.1,0.02
274,0.1,0.02
478,0.1,0.02
164,0.1,0.02
608,0.1,0.02
574,0.1,0.02
263,0.1,0.02
266,0.1,0.02
369,0.1,0.02
297,0.1,0.02
726,0.1,0.02
712,0.1,0.02
289,0.1,0.02
545,0.1,0.02
276,0.1,0.02
862,0.1,0.02
