ordered_input1,ordered_input2,ordered_input3
567,0.1,0.02
564,0.1,0.02
547,0.1,0.02
257,0.1,0.02
288,0.1,0.02
519,0.1,0.02
770,0.1,0.02
701,0.1,0.02
889,0.1,0.02
484,0.1,0.02
422,0.1,0.02
678,0.1,0.02
511,0.1,0.02
421,0.1,0.02
648,0.1,0.02
741,0.1,0.02
430,0.1,0.02
504,0.1,0.02
679,0.1,0.02
711,0.1,0.02
594,0.1,0.02
746,0.1,0.02
423,0.1,0.02
408,0.1,0.02
669,0.1,0.02
400,0.1,0.02
272,0.1,0.02
644,0.1,0.02
439,0.1,0.02
193,0.1,0.02
619,0.1,0.02
326,0.1,0.02
249,0.1,0.02
571,0.1,0.02
289,0.1,0.02
451,0.1,0.02
682,0.1,0.02
369,0.1,0.02
282,0.1,0.02
539,0.1,0.02
533,0.1,0.02
397,0.1,0.02
303,0.1,0.02
698,0.1,0.02
432,0.1,0.02
335,0.1,0.02
393,0.1,0.02
510,0.1,0.02
633,0.1,0.02
297,0.1,0.02
310,0.1,0.02
504,0.1,0.02
557,0.1,0.02
637,0.1,0.02
314,0.1,0.02
268,0.1,0.02
447,0.1,0.02
261,0.1,0.02
288,0.1,0.02
606,0.1,0.02
268,0.1,0.02
294,0.1,0.02
519,0.1,0.02
379,0.1,0.02
588,0.1,0.02
244,0.1,0.02
361,0.1,0.02
195,0.1,0.02
311,0.1,0.02
461,0.1,0.02
543,0.1,0.02
131,0.1,0.02
420,0.1,0.1
304,0.1,0.1
272,0.1,0.1
510,0.1,0.1
311,0.1,0.1
363,0.1,0.1
400,0.1,0.1
576,0.1,0.1
428,0.1,0.1
641,0.1,0.1
550,0.1,0.1
455,0.1,0.1
497,0.1,0.1
681,0.1,0.1
491,0.1,0.1
620,0.1,0.1
557,0.1,0.1
455,0.1,0.1
383,0.1,0.1
298,0.1,0.1
358,0.1,0.1
523,0.1,0.1
616,0.1,0.1
368,0.1,0.1
610,0.1,0.1
485,0.1,0.1
562,0.1,0.1
276,0.1,0.1
352,0.1,0.1
421,0.1,0.1
416,0.1,0.1
594,0.1,0.1
349,0.1,0.1
556,0.1,0.1
347,0.1,0.1
636,0.1,0.1
334,0.1,0.1
544,0.1,0.1
236,0.1,0.1
662,0.1,0.1
598,0.1,0.1
392,0.1,0.1
601,0.1,0.1
295,0.1,0.1
273,0.1,0.1
343,0.1,0.1
616,0.1,0.1
710,0.1,0.1
360,0.1,0.02
267,0.1,0.02
680,0.1,0.02
574,0.1,0.02
360,0.1,0.02
680,0.1,0.02
574,0.1,0.02
267,0.1,0.02
574,0.1,0.02
680,0.1,0.02
360,0.1,0.02
267,0.1,0.02
574,0.1,0.02
360,0.1,0.02
680,0.1,0.02
267,0.1,0.02
574,0.1,0.02
360,0.1,0.02
680,0.1,0.02
267,0.1,0.02
574,0.1,0.02
360,0.1,0.02
267,0.1,0.02
680,0.1,0.02
