ordered_input1,ordered_input2,ordered_input3
508,0.1,0.02
536,0.1,0.02
144,0.1,0.02
188,0.1,0.02
57,0.1,0.02
377,0.1,0.02
516,0.1,0.02
216,0.1,0.02
139,0.1,0.02
437,0.1,0.02
538,0.1,0.02
218,0.1,0.02
94,0.1,0.02
433,0.1,0.02
501,0.1,0.02
157,0.1,0.02
151,0.1,0.02
428,0.1,0.02
389,0.1,0.02
76,0.1,0.02
137,0.1,0.02
368,0.1,0.02
105,0.1,0.02
449,0.1,0.02
209,0.1,0.02
620,0.1,0.02
350,0.1,0.02
609,0.1,0.02
600,0.1,0.02
500,0.1,0.02
347,0.1,0.02
210,0.1,0.02
327,0.1,0.02
626,0.1,0.02
270,0.1,0.02
486,0.1,0.02
559,0.1,0.02
270,0.1,0.02
354,0.1,0.02
608,0.1,0.02
240,0.1,0.02
530,0.1,0.02
600,0.1,0.02
350,0.1,0.02
620,0.1,0.02
365,0.1,0.02
580,0.1,0.02
220,0.1,0.02
589,0.1,0.02
260,0.1,0.02
366,0.1,0.02
498,0.1,0.02
607,0.1,0.02
260,0.1,0.02
589,0.1,0.02
338,0.1,0.02
590,0.1,0.02
406,0.1,0.02
256,0.1,0.02
504,0.1,0.02
588,0.1,0.02
265,0.1,0.02
418,0.1,0.02
544,0.1,0.02
553,0.1,0.02
263,0.1,0.02
264,0.1,0.02
608,0.1,0.02
613,0.1,0.02
256,0.1,0.02
599,0.1,0.02
405,0.1,0.02
269,0.1,0.1
205,0.1,0.1
604,0.1,0.1
543,0.1,0.1
253,0.1,0.1
290,0.1,0.1
519,0.1,0.1
546,0.1,0.1
410,0.1,0.1
592,0.1,0.1
573,0.1,0.1
297,0.1,0.1
544,0.1,0.1
678,0.1,0.1
275,0.1,0.1
344,0.1,0.1
444,0.1,0.1
586,0.1,0.1
317,0.1,0.1
492,0.1,0.1
464,0.1,0.1
610,0.1,0.1
363,0.1,0.1
559,0.1,0.1
393,0.1,0.1
435,0.1,0.1
700,0.1,0.1
605,0.1,0.1
631,0.1,0.1
403,0.1,0.1
672,0.1,0.1
538,0.1,0.1
343,0.1,0.1
643,0.1,0.1
664,0.1,0.1
489,0.1,0.1
509,0.1,0.1
379,0.1,0.1
691,0.1,0.1
689,0.1,0.1
638,0.1,0.1
474,0.1,0.1
467,0.1,0.1
693,0.1,0.1
584,0.1,0.1
613,0.1,0.1
407,0.1,0.1
703,0.1,0.1
490,0.1,0.02
236,0.1,0.02
200,0.1,0.02
541,0.1,0.02
272,0.1,0.02
464,0.1,0.02
255,0.1,0.02
561,0.1,0.02
276,0.1,0.02
335,0.1,0.02
557,0.1,0.02
483,0.1,0.02
394,0.1,0.02
618,0.1,0.02
590,0.1,0.02
300,0.1,0.02
272,0.1,0.02
247,0.1,0.02
623,0.1,0.02
472,0.1,0.02
311,0.1,0.02
628,0.1,0.02
672,0.1,0.02
260,0.1,0.02
