ordered_input1,ordered_input2,ordered_input3
146,0.1,0.02
499,0.1,0.02
237,0.1,0.02
648,0.1,0.02
417,0.1,0.02
654,0.1,0.02
333,0.1,0.02
155,0.1,0.02
593,0.1,0.02
752,0.1,0.02
363,0.1,0.02
379,0.1,0.02
403,0.1,0.02
202,0.1,0.02
648,0.1,0.02
851,0.1,0.02
709,0.1,0.02
491,0.1,0.02
267,0.1,0.02
338,0.1,0.02
203,0.1,0.02
340,0.1,0.02
813,0.1,0.02
623,0.1,0.02
243,0.1,0.02
711,0.1,0.02
375,0.1,0.02
639,0.1,0.02
504,0.1,0.02
751,0.1,0.02
248,0.1,0.02
381,0.1,0.02
665,0.1,0.02
417,0.1,0.02
645,0.1,0.02
233,0.1,0.02
152,0.1,0.02
303,0.1,0.02
737,0.1,0.02
617,0.1,0.02
241,0.1,0.02
459,0.1,0.02
347,0.1,0.02
706,0.1,0.02
707,0.1,0.02
250,0.1,0.02
230,0.1,0.02
487,0.1,0.02
204,0.1,0.02
383,0.1,0.02
737,0.1,0.02
660,0.1,0.02
694,0.1,0.02
328,0.1,0.02
245,0.1,0.02
737,0.1,0.02
729,0.1,0.02
374,0.1,0.02
211,0.1,0.02
523,0.1,0.02
673,0.1,0.02
748,0.1,0.02
453,0.1,0.02
187,0.1,0.02
653,0.1,0.02
746,0.1,0.02
528,0.1,0.02
274,0.1,0.02
703,0.1,0.02
815,0.1,0.02
328,0.1,0.02
220,0.1,0.02
668,0.1,0.1
325,0.1,0.1
794,0.1,0.1
300,0.1,0.1
737,0.1,0.1
410,0.1,0.1
341,0.1,0.1
614,0.1,0.1
782,0.1,0.1
534,0.1,0.1
610,0.1,0.1
291,0.1,0.1
685,0.1,0.1
703,0.1,0.1
448,0.1,0.1
385,0.1,0.1
344,0.1,0.1
726,0.1,0.1
326,0.1,0.1
667,0.1,0.1
764,0.1,0.1
649,0.1,0.1
502,0.1,0.1
378,0.1,0.1
442,0.1,0.1
680,0.1,0.1
314,0.1,0.1
572,0.1,0.1
618,0.1,0.1
656,0.1,0.1
337,0.1,0.1
363,0.1,0.1
347,0.1,0.1
649,0.1,0.1
305,0.1,0.1
817,0.1,0.1
421,0.1,0.1
476,0.1,0.1
351,0.1,0.1
494,0.1,0.1
402,0.1,0.1
613,0.1,0.1
246,0.1,0.1
546,0.1,0.1
752,0.1,0.1
505,0.1,0.1
746,0.1,0.1
258,0.1,0.1
284,0.1,0.02
470,0.1,0.02
432,0.1,0.02
613,0.1,0.02
453,0.1,0.02
392,0.1,0.02
422,0.1,0.02
190,0.1,0.02
637,0.1,0.02
181,0.1,0.02
308,0.1,0.02
713,0.1,0.02
288,0.1,0.02
759,0.1,0.02
375,0.1,0.02
476,0.1,0.02
427,0.1,0.02
370,0.1,0.02
646,0.1,0.02
154,0.1,0.02
347,0.1,0.02
182,0.1,0.02
614,0.1,0.02
383,0.1,0.02
