ordered_input1,ordered_input2,ordered_input3
377,0.1,0.02
697,0.1,0.02
288,0.1,0.02
606,0.1,0.02
377,0.1,0.02
606,0.1,0.02
697,0.1,0.02
288,0.1,0.02
377,0.1,0.02
697,0.1,0.02
606,0.1,0.02
288,0.1,0.02
288,0.1,0.02
697,0.1,0.02
377,0.1,0.02
606,0.1,0.02
288,0.1,0.02
697,0.1,0.02
606,0.1,0.02
377,0.1,0.02
288,0.1,0.02
377,0.1,0.02
606,0.1,0.02
697,0.1,0.02
381,0.1,0.02
402,0.1,0.02
531,0.1,0.02
661,0.1,0.02
315,0.1,0.02
628,0.1,0.02
772,0.1,0.02
345,0.1,0.02
328,0.1,0.02
499,0.1,0.02
470,0.1,0.02
592,0.1,0.02
451,0.1,0.02
334,0.1,0.02
376,0.1,0.02
654,0.1,0.02
437,0.1,0.02
552,0.1,0.02
411,0.1,0.02
561,0.1,0.02
603,0.1,0.02
380,0.1,0.02
587,0.1,0.02
348,0.1,0.02
703,0.1,0.02
346,0.1,0.02
362,0.1,0.02
458,0.1,0.02
348,0.1,0.02
265,0.1,0.02
784,0.1,0.02
587,0.1,0.02
342,0.1,0.02
587,0.1,0.02
754,0.1,0.02
448,0.1,0.02
539,0.1,0.02
629,0.1,0.02
304,0.1,0.02
400,0.1,0.02
522,0.1,0.02
626,0.1,0.02
416,0.1,0.02
619,0.1,0.02
436,0.1,0.02
609,0.1,0.02
394,0.1,0.02
730,0.1,0.02
816,0.1,0.1
610,0.1,0.1
303,0.1,0.1
497,0.1,0.1
306,0.1,0.1
795,0.1,0.1
531,0.1,0.1
717,0.1,0.1
717,0.1,0.1
522,0.1,0.1
688,0.1,0.1
377,0.1,0.1
729,0.1,0.1
550,0.1,0.1
688,0.1,0.1
358,0.1,0.1
743,0.1,0.1
441,0.1,0.1
465,0.1,0.1
720,0.1,0.1
398,0.1,0.1
527,0.1,0.1
544,0.1,0.1
740,0.1,0.1
674,0.1,0.1
692,0.1,0.1
463,0.1,0.1
413,0.1,0.1
486,0.1,0.1
577,0.1,0.1
809,0.1,0.1
405,0.1,0.1
322,0.1,0.1
444,0.1,0.1
682,0.1,0.1
764,0.1,0.1
693,0.1,0.1
812,0.1,0.1
462,0.1,0.1
472,0.1,0.1
464,0.1,0.1
504,0.1,0.1
657,0.1,0.1
587,0.1,0.1
531,0.1,0.1
523,0.1,0.1
484,0.1,0.1
530,0.1,0.1
331,0.1,0.02
494,0.1,0.02
344,0.1,0.02
548,0.1,0.02
627,0.1,0.02
535,0.1,0.02
416,0.1,0.02
389,0.1,0.02
330,0.1,0.02
548,0.1,0.02
618,0.1,0.02
560,0.1,0.02
361,0.1,0.02
835,0.1,0.02
699,0.1,0.02
488,0.1,0.02
638,0.1,0.02
631,0.1,0.02
460,0.1,0.02
373,0.1,0.02
543,0.1,0.02
444,0.1,0.02
457,0.1,0.02
706,0.1,0.02
