ordered_input1,ordered_input2,ordered_input3
727,0.1,0.02
690,0.1,0.02
190,0.1,0.02
174,0.1,0.02
719,0.1,0.02
225,0.1,0.02
321,0.1,0.02
728,0.1,0.02
706,0.1,0.02
687,0.1,0.02
257,0.1,0.02
377,0.1,0.02
708,0.1,0.02
457,0.1,0.02
348,0.1,0.02
663,0.1,0.02
382,0.1,0.02
657,0.1,0.02
738,0.1,0.02
317,0.1,0.02
629,0.1,0.02
297,0.1,0.02
320,0.1,0.02
769,0.1,0.02
211,0.1,0.02
639,0.1,0.02
248,0.1,0.02
774,0.1,0.02
777,0.1,0.02
272,0.1,0.02
620,0.1,0.02
171,0.1,0.02
275,0.1,0.02
603,0.1,0.02
754,0.1,0.02
276,0.1,0.02
718,0.1,0.02
253,0.1,0.02
252,0.1,0.02
780,0.1,0.02
195,0.1,0.02
693,0.1,0.02
229,0.1,0.02
535,0.1,0.02
768,0.1,0.02
230,0.1,0.02
292,0.1,0.02
501,0.1,0.02
743,0.1,0.02
299,0.1,0.02
782,0.1,0.02
303,0.1,0.02
783,0.1,0.02
680,0.1,0.02
190,0.1,0.02
185,0.1,0.02
787,0.1,0.02
264,0.1,0.02
184,0.1,0.02
676,0.1,0.02
709,0.1,0.02
161,0.1,0.02
269,0.1,0.02
675,0.1,0.02
774,0.1,0.02
175,0.1,0.02
630,0.1,0.02
233,0.1,0.02
646,0.1,0.02
283,0.1,0.02
169,0.1,0.02
768,0.1,0.02
733,0.1,0.1
379,0.1,0.1
201,0.1,0.1
680,0.1,0.1
299,0.1,0.1
759,0.1,0.1
596,0.1,0.1
313,0.1,0.1
657,0.1,0.1
291,0.1,0.1
709,0.1,0.1
177,0.1,0.1
241,0.1,0.1
251,0.1,0.1
707,0.1,0.1
625,0.1,0.1
764,0.1,0.1
791,0.1,0.1
250,0.1,0.1
188,0.1,0.1
625,0.1,0.1
310,0.1,0.1
753,0.1,0.1
374,0.1,0.1
733,0.1,0.1
1031,0.1,0.1
247,0.1,0.1
381,0.1,0.1
310,0.1,0.1
226,0.1,0.1
692,0.1,0.1
829,0.1,0.1
758,0.1,0.1
796,0.1,0.1
291,0.1,0.1
618,0.1,0.1
635,0.1,0.1
290,0.1,0.1
295,0.1,0.1
754,0.1,0.1
184,0.1,0.1
751,0.1,0.1
323,0.1,0.1
658,0.1,0.1
746,0.1,0.1
193,0.1,0.1
406,0.1,0.1
445,0.1,0.1
795,0.1,0.02
691,0.1,0.02
525,0.1,0.02
170,0.1,0.02
763,0.1,0.02
133,0.1,0.02
578,0.1,0.02
248,0.1,0.02
142,0.1,0.02
695,0.1,0.02
438,0.1,0.02
777,0.1,0.02
76,0.1,0.02
246,0.1,0.02
714,0.1,0.02
371,0.1,0.02
606,0.1,0.02
93,0.1,0.02
388,0.1,0.02
776,0.1,0.02
696,0.1,0.02
670,0.1,0.02
174,0.1,0.02
129,0.1,0.02
