ordered_input1,ordered_input2,ordered_input3
298,0.1,0.02
494,0.1,0.02
648,0.1,0.02
774,0.1,0.02
743,0.1,0.02
412,0.1,0.02
341,0.1,0.02
638,0.1,0.02
704,0.1,0.02
468,0.1,0.02
607,0.1,0.02
410,0.1,0.02
681,0.1,0.02
352,0.1,0.02
546,0.1,0.02
642,0.1,0.02
543,0.1,0.02
688,0.1,0.02
357,0.1,0.02
594,0.1,0.02
475,0.1,0.02
622,0.1,0.02
405,0.1,0.02
737,0.1,0.02
305,0.1,0.02
625,0.1,0.02
387,0.1,0.02
718,0.1,0.02
327,0.1,0.02
321,0.1,0.02
655,0.1,0.02
545,0.1,0.02
317,0.1,0.02
360,0.1,0.02
590,0.1,0.02
693,0.1,0.02
511,0.1,0.02
653,0.1,0.02
423,0.1,0.02
285,0.1,0.02
569,0.1,0.02
730,0.1,0.02
367,0.1,0.02
517,0.1,0.02
669,0.1,0.02
240,0.1,0.02
490,0.1,0.02
632,0.1,0.02
687,0.1,0.02
323,0.1,0.02
224,0.1,0.02
433,0.1,0.02
269,0.1,0.02
612,0.1,0.02
724,0.1,0.02
186,0.1,0.02
356,0.1,0.02
281,0.1,0.02
656,0.1,0.02
604,0.1,0.02
342,0.1,0.02
301,0.1,0.02
699,0.1,0.02
603,0.1,0.02
689,0.1,0.02
178,0.1,0.02
368,0.1,0.02
614,0.1,0.02
616,0.1,0.02
293,0.1,0.02
230,0.1,0.02
549,0.1,0.02
673,0.1,0.1
551,0.1,0.1
695,0.1,0.1
435,0.1,0.1
734,0.1,0.1
411,0.1,0.1
693,0.1,0.1
283,0.1,0.1
187,0.1,0.1
452,0.1,0.1
665,0.1,0.1
645,0.1,0.1
383,0.1,0.1
573,0.1,0.1
355,0.1,0.1
683,0.1,0.1
501,0.1,0.1
591,0.1,0.1
333,0.1,0.1
708,0.1,0.1
682,0.1,0.1
691,0.1,0.1
340,0.1,0.1
565,0.1,0.1
513,0.1,0.1
486,0.1,0.1
734,0.1,0.1
715,0.1,0.1
558,0.1,0.1
364,0.1,0.1
415,0.1,0.1
715,0.1,0.1
449,0.1,0.1
295,0.1,0.1
722,0.1,0.1
738,0.1,0.1
628,0.1,0.1
662,0.1,0.1
150,0.1,0.1
497,0.1,0.1
653,0.1,0.1
452,0.1,0.1
200,0.1,0.1
522,0.1,0.1
672,0.1,0.1
257,0.1,0.1
206,0.1,0.1
624,0.1,0.1
184,0.1,0.02
470,0.1,0.02
685,0.1,0.02
523,0.1,0.02
311,0.1,0.02
713,0.1,0.02
586,0.1,0.02
338,0.1,0.02
689,0.1,0.02
461,0.1,0.02
292,0.1,0.02
672,0.1,0.02
266,0.1,0.02
420,0.1,0.02
621,0.1,0.02
670,0.1,0.02
628,0.1,0.02
327,0.1,0.02
424,0.1,0.02
665,0.1,0.02
605,0.1,0.02
344,0.1,0.02
685,0.1,0.02
311,0.1,0.02
