ordered_input1,ordered_input2,ordered_input3
865,0.7,0.02
255,0.7,0.02
815,0.7,0.02
345,0.7,0.02
875,0.7,0.02
251,0.7,0.02
815,0.7,0.02
109,0.7,0.02
695,0.7,0.02
822,0.7,0.02
315,0.7,0.02
189,0.7,0.02
315,0.7,0.02
113,0.7,0.02
771,0.7,0.02
786,0.7,0.02
159,0.7,0.02
764,0.7,0.02
232,0.7,0.02
757,0.7,0.02
758,0.7,0.02
74,0.7,0.02
727,0.7,0.02
160,0.7,0.02
785,0.7,0.02
311,0.7,0.02
840,0.7,0.02
151,0.7,0.02
789,0.7,0.02
95,0.7,0.02
336,0.7,0.02
807,0.7,0.02
878,0.7,0.02
275,0.7,0.02
230,0.7,0.02
809,0.7,0.02
797,0.7,0.02
832,0.7,0.02
277,0.7,0.02
239,0.7,0.02
243,0.7,0.02
233,0.7,0.02
744,0.7,0.02
788,0.7,0.02
851,0.7,0.02
167,0.7,0.02
215,0.7,0.02
819,0.7,0.02
119,0.7,0.02
185,0.7,0.02
757,0.7,0.02
835,0.7,0.02
823,0.7,0.02
720,0.7,0.02
188,0.7,0.02
74,0.7,0.02
329,0.7,0.02
103,0.7,0.02
784,0.7,0.02
811,0.7,0.02
201,0.7,0.02
835,0.7,0.02
58,0.7,0.02
800,0.7,0.02
779,0.7,0.02
98,0.7,0.02
837,0.7,0.02
236,0.7,0.02
202,0.7,0.02
86,0.7,0.02
872,0.7,0.02
769,0.7,0.02
345,0.7,0.1
779,0.7,0.1
825,0.7,0.1
265,0.7,0.1
851,0.7,0.1
794,0.7,0.1
326,0.7,0.1
346,0.7,0.1
823,0.7,0.1
806,0.7,0.1
263,0.7,0.1
331,0.7,0.1
875,0.7,0.1
767,0.7,0.1
276,0.7,0.1
178,0.7,0.1
822,0.7,0.1
364,0.7,0.1
788,0.7,0.1
254,0.7,0.1
241,0.7,0.1
306,0.7,0.1
843,0.7,0.1
816,0.7,0.1
820,0.7,0.1
759,0.7,0.1
321,0.7,0.1
313,0.7,0.1
799,0.7,0.1
348,0.7,0.1
239,0.7,0.1
827,0.7,0.1
329,0.7,0.1
811,0.7,0.1
315,0.7,0.1
709,0.7,0.1
855,0.7,0.1
338,0.7,0.1
243,0.7,0.1
744,0.7,0.1
223,0.7,0.1
736,0.7,0.1
689,0.7,0.1
183,0.7,0.1
799,0.7,0.1
646,0.7,0.1
247,0.7,0.1
156,0.7,0.1
231,0.7,0.02
705,0.7,0.02
769,0.7,0.02
89,0.7,0.02
195,0.7,0.02
81,0.7,0.02
788,0.7,0.02
827,0.7,0.02
806,0.7,0.02
28,0.7,0.02
789,0.7,0.02
208,0.7,0.02
757,0.7,0.02
785,0.7,0.02
46,0.7,0.02
188,0.7,0.02
90,0.7,0.02
698,0.7,0.02
210,0.7,0.02
752,0.7,0.02
726,0.7,0.02
198,0.7,0.02
143,0.7,0.02
804,0.7,0.02
