ordered_input1,ordered_input2,ordered_input3
329,0.7,0.02
413,0.7,0.02
708,0.7,0.02
779,0.7,0.02
784,0.7,0.02
372,0.7,0.02
364,0.7,0.02
856,0.7,0.02
436,0.7,0.02
348,0.7,0.02
748,0.7,0.02
707,0.7,0.02
767,0.7,0.02
848,0.7,0.02
274,0.7,0.02
493,0.7,0.02
788,0.7,0.02
469,0.7,0.02
398,0.7,0.02
779,0.7,0.02
855,0.7,0.02
422,0.7,0.02
303,0.7,0.02
585,0.7,0.02
760,0.7,0.02
687,0.7,0.02
301,0.7,0.02
343,0.7,0.02
324,0.7,0.02
776,0.7,0.02
327,0.7,0.02
698,0.7,0.02
464,0.7,0.02
282,0.7,0.02
784,0.7,0.02
837,0.7,0.02
721,0.7,0.02
313,0.7,0.02
311,0.7,0.02
650,0.7,0.02
768,0.7,0.02
806,0.7,0.02
485,0.7,0.02
364,0.7,0.02
814,0.7,0.02
412,0.7,0.02
801,0.7,0.02
356,0.7,0.02
707,0.7,0.02
738,0.7,0.02
199,0.7,0.02
255,0.7,0.02
698,0.7,0.02
197,0.7,0.02
716,0.7,0.02
316,0.7,0.02
796,0.7,0.02
642,0.7,0.02
373,0.7,0.02
372,0.7,0.02
284,0.7,0.02
681,0.7,0.02
342,0.7,0.02
807,0.7,0.02
556,0.7,0.02
655,0.7,0.02
388,0.7,0.02
342,0.7,0.02
323,0.7,0.02
718,0.7,0.02
262,0.7,0.02
542,0.7,0.02
700,0.7,0.1
326,0.7,0.1
786,0.7,0.1
393,0.7,0.1
803,0.7,0.1
779,0.7,0.1
321,0.7,0.1
405,0.7,0.1
724,0.7,0.1
444,0.7,0.1
758,0.7,0.1
310,0.7,0.1
300,0.7,0.1
792,0.7,0.1
660,0.7,0.1
334,0.7,0.1
355,0.7,0.1
663,0.7,0.1
326,0.7,0.1
600,0.7,0.1
390,0.7,0.1
574,0.7,0.1
692,0.7,0.1
314,0.7,0.1
330,0.7,0.1
770,0.7,0.1
302,0.7,0.1
589,0.7,0.1
374,0.7,0.1
604,0.7,0.1
666,0.7,0.1
268,0.7,0.1
645,0.7,0.1
316,0.7,0.1
260,0.7,0.1
664,0.7,0.1
236,0.7,0.1
575,0.7,0.1
533,0.7,0.1
315,0.7,0.1
320,0.7,0.1
599,0.7,0.1
332,0.7,0.1
604,0.7,0.1
337,0.7,0.1
310,0.7,0.1
571,0.7,0.1
601,0.7,0.1
608,0.7,0.02
294,0.7,0.02
529,0.7,0.02
150,0.7,0.02
556,0.7,0.02
521,0.7,0.02
171,0.7,0.02
273,0.7,0.02
662,0.7,0.02
546,0.7,0.02
249,0.7,0.02
333,0.7,0.02
285,0.7,0.02
257,0.7,0.02
430,0.7,0.02
661,0.7,0.02
682,0.7,0.02
318,0.7,0.02
625,0.7,0.02
295,0.7,0.02
248,0.7,0.02
677,0.7,0.02
388,0.7,0.02
309,0.7,0.02
