ordered_input1,ordered_input2,ordered_input3
747,0.7,0.02
668,0.7,0.02
330,0.7,0.02
233,0.7,0.02
206,0.7,0.02
766,0.7,0.02
294,0.7,0.02
634,0.7,0.02
317,0.7,0.02
760,0.7,0.02
668,0.7,0.02
296,0.7,0.02
337,0.7,0.02
284,0.7,0.02
760,0.7,0.02
650,0.7,0.02
634,0.7,0.02
687,0.7,0.02
300,0.7,0.02
305,0.7,0.02
294,0.7,0.02
615,0.7,0.02
326,0.7,0.02
722,0.7,0.02
291,0.7,0.02
600,0.7,0.02
735,0.7,0.02
171,0.7,0.02
241,0.7,0.02
599,0.7,0.02
171,0.7,0.02
647,0.7,0.02
318,0.7,0.02
687,0.7,0.02
621,0.7,0.02
232,0.7,0.02
614,0.7,0.02
719,0.7,0.02
243,0.7,0.02
260,0.7,0.02
679,0.7,0.02
617,0.7,0.02
313,0.7,0.02
261,0.7,0.02
722,0.7,0.02
262,0.7,0.02
604,0.7,0.02
203,0.7,0.02
301,0.7,0.02
346,0.7,0.02
706,0.7,0.02
607,0.7,0.02
318,0.7,0.02
630,0.7,0.02
725,0.7,0.02
238,0.7,0.02
209,0.7,0.02
569,0.7,0.02
704,0.7,0.02
298,0.7,0.02
623,0.7,0.02
558,0.7,0.02
314,0.7,0.02
193,0.7,0.02
262,0.7,0.02
210,0.7,0.02
685,0.7,0.02
640,0.7,0.02
719,0.7,0.02
257,0.7,0.02
653,0.7,0.02
301,0.7,0.02
174,0.7,0.1
288,0.7,0.1
558,0.7,0.1
574,0.7,0.1
249,0.7,0.1
644,0.7,0.1
162,0.7,0.1
518,0.7,0.1
529,0.7,0.1
177,0.7,0.1
233,0.7,0.1
594,0.7,0.1
545,0.7,0.1
286,0.7,0.1
651,0.7,0.1
202,0.7,0.1
228,0.7,0.1
618,0.7,0.1
603,0.7,0.1
188,0.7,0.1
582,0.7,0.1
631,0.7,0.1
135,0.7,0.1
210,0.7,0.1
609,0.7,0.1
250,0.7,0.1
179,0.7,0.1
627,0.7,0.1
518,0.7,0.1
223,0.7,0.1
242,0.7,0.1
606,0.7,0.1
199,0.7,0.1
264,0.7,0.1
525,0.7,0.1
565,0.7,0.1
461,0.7,0.1
117,0.7,0.1
180,0.7,0.1
575,0.7,0.1
166,0.7,0.1
191,0.7,0.1
231,0.7,0.1
595,0.7,0.1
205,0.7,0.1
187,0.7,0.1
521,0.7,0.1
592,0.7,0.1
501,0.7,0.02
499,0.7,0.02
280,0.7,0.02
230,0.7,0.02
501,0.7,0.02
280,0.7,0.02
230,0.7,0.02
528,0.7,0.02
250,0.7,0.02
568,0.7,0.02
640,0.7,0.02
212,0.7,0.02
250,0.7,0.02
236,0.7,0.02
268,0.7,0.02
548,0.7,0.02
560,0.7,0.02
496,0.7,0.02
242,0.7,0.02
314,0.7,0.02
230,0.7,0.02
503,0.7,0.02
485,0.7,0.02
122,0.7,0.02
