ordered_input1,ordered_input2,ordered_input3
772,0.7,0.02
434,0.7,0.02
870,0.7,0.02
325,0.7,0.02
265,0.7,0.02
832,0.7,0.02
402,0.7,0.02
814,0.7,0.02
720,0.7,0.02
334,0.7,0.02
800,0.7,0.02
398,0.7,0.02
806,0.7,0.02
454,0.7,0.02
326,0.7,0.02
831,0.7,0.02
753,0.7,0.02
336,0.7,0.02
308,0.7,0.02
663,0.7,0.02
328,0.7,0.02
671,0.7,0.02
324,0.7,0.02
785,0.7,0.02
816,0.7,0.02
567,0.7,0.02
722,0.7,0.02
255,0.7,0.02
766,0.7,0.02
771,0.7,0.02
238,0.7,0.02
384,0.7,0.02
715,0.7,0.02
699,0.7,0.02
327,0.7,0.02
426,0.7,0.02
725,0.7,0.02
367,0.7,0.02
781,0.7,0.02
373,0.7,0.02
645,0.7,0.02
727,0.7,0.02
300,0.7,0.02
407,0.7,0.02
383,0.7,0.02
728,0.7,0.02
336,0.7,0.02
727,0.7,0.02
853,0.7,0.02
757,0.7,0.02
430,0.7,0.02
172,0.7,0.02
287,0.7,0.02
747,0.7,0.02
330,0.7,0.02
804,0.7,0.02
723,0.7,0.02
397,0.7,0.02
845,0.7,0.02
408,0.7,0.02
806,0.7,0.02
268,0.7,0.02
641,0.7,0.02
341,0.7,0.02
658,0.7,0.02
344,0.7,0.02
397,0.7,0.02
791,0.7,0.02
655,0.7,0.02
762,0.7,0.02
284,0.7,0.02
340,0.7,0.02
795,0.7,0.1
325,0.7,0.1
840,0.7,0.1
247,0.7,0.1
846,0.7,0.1
426,0.7,0.1
293,0.7,0.1
734,0.7,0.1
792,0.7,0.1
826,0.7,0.1
481,0.7,0.1
375,0.7,0.1
433,0.7,0.1
346,0.7,0.1
868,0.7,0.1
817,0.7,0.1
103,0.7,0.1
836,0.7,0.1
445,0.7,0.1
812,0.7,0.1
746,0.7,0.1
389,0.7,0.1
817,0.7,0.1
348,0.7,0.1
747,0.7,0.1
284,0.7,0.1
868,0.7,0.1
393,0.7,0.1
262,0.7,0.1
785,0.7,0.1
803,0.7,0.1
286,0.7,0.1
207,0.7,0.1
773,0.7,0.1
286,0.7,0.1
783,0.7,0.1
676,0.7,0.1
823,0.7,0.1
228,0.7,0.1
213,0.7,0.1
843,0.7,0.1
263,0.7,0.1
775,0.7,0.1
335,0.7,0.1
379,0.7,0.1
337,0.7,0.1
773,0.7,0.1
751,0.7,0.1
671,0.7,0.02
351,0.7,0.02
814,0.7,0.02
198,0.7,0.02
270,0.7,0.02
769,0.7,0.02
657,0.7,0.02
350,0.7,0.02
770,0.7,0.02
472,0.7,0.02
249,0.7,0.02
651,0.7,0.02
340,0.7,0.02
754,0.7,0.02
636,0.7,0.02
255,0.7,0.02
370,0.7,0.02
645,0.7,0.02
772,0.7,0.02
273,0.7,0.02
715,0.7,0.02
352,0.7,0.02
729,0.7,0.02
344,0.7,0.02
