ordered_input1,ordered_input2,ordered_input3
711,0.7,0.02
318,0.7,0.02
400,0.7,0.02
749,0.7,0.02
704,0.7,0.02
417,0.7,0.02
598,0.7,0.02
402,0.7,0.02
708,0.7,0.02
488,0.7,0.02
729,0.7,0.02
443,0.7,0.02
693,0.7,0.02
441,0.7,0.02
438,0.7,0.02
757,0.7,0.02
446,0.7,0.02
726,0.7,0.02
460,0.7,0.02
658,0.7,0.02
740,0.7,0.02
819,0.7,0.02
384,0.7,0.02
572,0.7,0.02
339,0.7,0.02
814,0.7,0.02
835,0.7,0.02
424,0.7,0.02
467,0.7,0.02
788,0.7,0.02
631,0.7,0.02
464,0.7,0.02
730,0.7,0.02
503,0.7,0.02
691,0.7,0.02
368,0.7,0.02
744,0.7,0.02
446,0.7,0.02
410,0.7,0.02
725,0.7,0.02
780,0.7,0.02
710,0.7,0.02
420,0.7,0.02
448,0.7,0.02
422,0.7,0.02
339,0.7,0.02
760,0.7,0.02
740,0.7,0.02
686,0.7,0.02
243,0.7,0.02
351,0.7,0.02
757,0.7,0.02
232,0.7,0.02
723,0.7,0.02
630,0.7,0.02
391,0.7,0.02
374,0.7,0.02
548,0.7,0.02
619,0.7,0.02
250,0.7,0.02
618,0.7,0.02
642,0.7,0.02
408,0.7,0.02
392,0.7,0.02
674,0.7,0.02
340,0.7,0.02
644,0.7,0.02
436,0.7,0.02
496,0.7,0.02
313,0.7,0.02
714,0.7,0.02
611,0.7,0.02
270,0.7,0.1
573,0.7,0.1
246,0.7,0.1
674,0.7,0.1
769,0.7,0.1
744,0.7,0.1
279,0.7,0.1
384,0.7,0.1
310,0.7,0.1
604,0.7,0.1
329,0.7,0.1
740,0.7,0.1
338,0.7,0.1
786,0.7,0.1
644,0.7,0.1
387,0.7,0.1
710,0.7,0.1
270,0.7,0.1
760,0.7,0.1
446,0.7,0.1
549,0.7,0.1
694,0.7,0.1
297,0.7,0.1
738,0.7,0.1
339,0.7,0.1
354,0.7,0.1
665,0.7,0.1
747,0.7,0.1
407,0.7,0.1
376,0.7,0.1
656,0.7,0.1
744,0.7,0.1
371,0.7,0.1
751,0.7,0.1
501,0.7,0.1
698,0.7,0.1
714,0.7,0.1
750,0.7,0.1
440,0.7,0.1
805,0.7,0.1
811,0.7,0.1
732,0.7,0.1
398,0.7,0.1
548,0.7,0.1
398,0.7,0.1
357,0.7,0.1
753,0.7,0.1
734,0.7,0.1
675,0.7,0.02
402,0.7,0.02
643,0.7,0.02
188,0.7,0.02
293,0.7,0.02
640,0.7,0.02
599,0.7,0.02
291,0.7,0.02
662,0.7,0.02
636,0.7,0.02
237,0.7,0.02
400,0.7,0.02
468,0.7,0.02
421,0.7,0.02
666,0.7,0.02
635,0.7,0.02
566,0.7,0.02
727,0.7,0.02
347,0.7,0.02
313,0.7,0.02
698,0.7,0.02
277,0.7,0.02
671,0.7,0.02
326,0.7,0.02
