Row,Bit_1_MSB,Bit_2,Bit_3,Bit_4,Bit_5,Bit_6_LSB
0 cm,0,0,0,0,0,0
0.6 cm,0,0,0,0,0,1
1.2 cm,0,0,0,0,1,0
1.8 cm,0,0,0,0,1,1
2.4 cm,0,0,0,1,0,0
3 cm,0,0,0,1,0,1
3.6 cm,0,0,0,1,1,0
4.2 cm,0,0,0,1,1,1
4.8 cm,0,0,1,0,0,0
5.4 cm,0,0,1,0,0,1
6 cm,0,0,1,0,1,0
6.6 cm,0,0,1,0,1,1
7.2 cm,0,0,1,1,0,0
7.8 cm,0,0,1,1,0,1
8.4 cm,0,0,1,1,1,0
9 cm,0,0,1,1,1,1
9.6 cm,0,1,0,0,0,0
10.2 cm,0,1,0,0,0,1
10.8 cm,0,1,0,0,1,0
11.4 cm,0,1,0,0,1,1
12 cm,0,1,0,1,0,0
12.6 cm,0,1,0,1,0,1
13.2 cm,0,1,0,1,1,0
13.8 cm,0,1,0,1,1,1
14.4 cm,0,1,1,0,0,0
15 cm,0,1,1,0,0,1
15.6 cm,0,1,1,0,1,0
16.2 cm,0,1,1,0,1,1
16.8 cm,0,1,1,1,0,0
17.4 cm,0,1,1,1,0,1
18 cm,0,1,1,1,1,0
18.6 cm,0,1,1,1,1,1
19.2 cm,1,0,0,0,0,0
Unused (1),0,0,0,0,0,0
Unused (2),0,0,0,0,0,0
Unused (3),0,0,0,0,0,0
Unused (4),0,0,0,0,0,0
Unused (5),0,0,0,0,0,0
Unused (6),0,0,0,0,0,0
Unused (7),0,0,0,0,0,0
Unused (8),0,0,0,0,0,0
Unused (9),0,0,0,0,0,0
Unused (10),0,0,0,0,0,0
Unused (11),0,0,0,0,0,0
Unused (12),0,0,0,0,0,0
Unused (13),0,0,0,0,0,0
Unused (14),0,0,0,0,0,0
Unused (15),0,0,0,0,0,0
Unused (16),0,0,0,0,0,0
Unused (17),0,0,0,0,0,0
Unused (18),0,0,0,0,0,0
Unused (19),0,0,0,0,0,0
Unused (20),0,0,0,0,0,0
Unused (21),0,0,0,0,0,0
Unused (22),0,0,0,0,0,0
Unused (23),0,0,0,0,0,0
Unused (24),0,0,0,0,0,0
Unused (25),0,0,0,0,0,0
Unused (26),0,0,0,0,0,0
Unused (27),0,0,0,0,0,0
Unused (28),0,0,0,0,0,0
Unused (29),0,0,0,0,0,0
Unused (30),0,0,0,0,0,0
Occluded,1,1,1,1,1,1
